fileNumber,time,latitude,longitude,pres,temp,psal,doxy,turbidity,chla,nitrate,model_temp,model_salt
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,88.04,16.971,35.77,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,90.04,16.911,35.766,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,92.0,16.87,35.763,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,93.96,16.859,35.762,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,96.0,16.846,35.761,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,98.04,16.786,35.755,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,100.0,16.714,35.747,,,,,16.641785,35.7499
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,102.0,16.551,35.735,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,104.0,16.41,35.715,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,106.04,16.32,35.704,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,108.0,16.234,35.694,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,110.0,16.186,35.688,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,112.0,16.148,35.682,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,114.0,16.035,35.672,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,115.96,15.968,35.663,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,117.92,15.92,35.659,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,119.96,15.86,35.652,,,,,16.353157,35.698227
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,122.0,15.824,35.648,,,,,15.831778,35.630047
3902687,2025-08-08 14:54:45+00:00,5.29053,0.18557,124.0,15.721,35.637,,,,,15.831778,35.630047
